year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1922,0,1,3,2,7,-0.033192145222658856,-0.029603110518049505,379000.0,-0.033200568856942315,-0.14580984896771193,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1976,2,2,3,3,7,-0.03485366644749387,0.9345779113411781,190000.0,-0.03458716726915904,0.016085055750887128,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1970,0,1,2,1,7,-0.03307334836237219,-0.7816451959523528,48500.0,-0.03329620572915455,-0.5436661952986275,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1961,1,2,3,2,7,-0.032242587749954685,-0.0009356866768435311,175000.0,-0.032242837786212945,-0.4196289279499001,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.6818742679360555,-0.7149182906378831
1956,0,0,0,0,10,-0.028444630329001065,-1.607267002579085,107500.0,-0.028902903941262558,-0.923479390594409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1969,0,1,3,2,7,-0.03200526649924441,-0.5484834820438776,103000.0,-0.03216164180923504,-0.6190457081109407,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1992,2,1,3,2,7,-0.03247990900066497,-0.07833773104809966,236500.0,-0.03250222896098801,-0.39596106379471246,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1969,0,1,4,2,7,-0.03247990900066497,0.01722034842258692,225000.0,-0.032474981988847774,-0.36299116836973133,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.6818742679360555,-0.7149182906378831
1981,0,2,2,2,6,-0.03485366644749387,-0.6000848449580484,100000.0,-0.03502475364173126,0.016085055750887128,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1930,0,2,0,0,9,-0.03259870586095163,2.54377596962754,325000.0,-0.03187336884399132,0.5841853248791732,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1978,0,1,4,2,7,-0.030936912166253577,0.7405950100156843,258000.0,-0.03072572637744449,-0.4325345057168004,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1920,0,2,3,1,7,-0.03295455150208553,-0.24269762773768058,39900.0,-0.03302373600775217,-0.33500053129771334,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
1964,0,1,3,2,7,-0.03307334836237219,-0.652641788666926,75000.0,-0.033259422316765236,-0.48432038353366164,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.6818742679360555,-0.7149182906378831
