year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1981,2,2,3,2,7,-0.03174734783767165,-0.13224304343180412,259900.0,-0.13224304343410387,-0.5321276646460328,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1927,0,3,4,3,7,-0.0334102932648056,2.770621662127248,570000.0,2.770621662124948,1.5999506686808622,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1982,2,2,4,3,7,-0.029965795874908364,1.109802346979528,417000.0,1.1098023469772282,-0.46573421750915434,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
2000,2,2,4,3,7,-0.032460077686258,0.6234535389334047,396500.0,0.623453538931105,-0.15296213617542617,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1969,2,2,4,2,7,-0.03234119849192607,0.3512504878547527,9000.0,0.35125048785245294,-0.27944662732291503,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1970,2,2,3,2,7,-0.030441039993533463,-0.17887923050472004,255000.0,-0.1788792305070198,-0.6573253776613581,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1950,0,1,2,1,7,-0.0329350491461805,-0.8041848408497355,63500.0,-0.8041848408520352,-0.578006979750378,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1956,0,0,0,0,10,0.11089541571902019,-1.603662333528294,453990.0,-1.6036623335305937,-0.9239376992199547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
2006,2,1,3,2,7,-0.03234119849192607,1.3315621753058424,455000.0,1.3315621753035425,0.04374022956800543,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.681129456520996,-0.7140491744334899
2003,0,1,3,2,7,-0.03257895688058992,-0.006610866010887794,222000.0,-0.006610866013187529,-0.34194960995559437,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.681129456520996,-0.7140491744334899
1922,0,1,3,2,7,-0.03317280753484435,-0.03230835684698432,379000.0,-0.032308356849284056,-0.14679230877684082,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1976,2,2,3,3,7,-0.034835480303275705,0.9280163932871414,190000.0,0.9280163932848416,0.014993478377828927,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1970,0,1,2,1,7,-0.03305392834051243,-0.7813426267732052,48500.0,-0.7813426267755049,-0.5443804989518791,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1969,0,1,3,2,7,-0.03198510622633549,-0.5491134503284811,103000.0,-0.5491134503307809,-0.6197092057871756,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1992,2,1,3,2,7,-0.032460077686258,-0.08084806175961108,236500.0,-0.08084806176191082,-0.39677492106984974,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1969,0,1,4,2,7,-0.032460077686258,0.014327830225931596,225000.0,0.014327830223631861,-0.3638272474354681,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.681129456520996,-0.7140491744334899
1981,0,2,2,2,6,-0.034835480303275705,-0.6005084320006742,100000.0,-0.6005084320029739,0.014993478377828927,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1930,0,2,0,0,9,-0.03257895688058992,2.5307784143236804,325000.0,2.5307784143213805,0.5827108465275905,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1978,0,1,4,2,7,-0.030916011453455967,0.7348093325564897,258000.0,0.73480933255419,-0.43332371240213696,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1920,0,2,3,1,7,-0.0329350491461805,-0.2445505959747445,39900.0,-0.24455059597704423,-0.3358554761216742,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1964,0,1,3,2,7,-0.03305392834051243,-0.6528551725927226,75000.0,-0.6528551725950223,-0.4850746864099923,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
2014,3,1,4,4,7,0.001151923876283095,1.7550948946415073,615000.0,1.7550948946392075,-0.8471903962046621,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,-0.681129456520996,-0.7140491744334899
2006,2,2,4,3,7,-0.032103712761964824,0.8414063315802975,388000.0,0.8414063315779978,-0.18793001291062342,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-0.681129456520996,-0.7140491744334899
1943,0,1,3,2,7,-0.03281644261055117,-0.2864279884483833,305000.0,-0.286427988450683,-0.38745755923267405,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1966,0,1,2,1,7,-0.03257895688058992,-0.765162725135663,56000.0,-0.7651627251379627,-0.6183766106371767,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
1989,1,1,3,2,7,-0.032222591956296745,-0.5643415930461679,148000.0,-0.5643415930484676,-0.5968503310561402,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026255331293063247,-0.7140491744334899
1956,0,0,0,0,10,-0.011081454133098622,-1.603662333528294,105000.0,-1.6036623335305937,-0.9239376992199547,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681129456520996,-0.7140491744334899
2011,2,1,3,2,7,-0.033291414070473674,0.4397640674013074,445000.0,0.43976406739900764,0.16431087028872612,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.028488108070352774,0.715234257821792
1956,0,0,0,0,10,-0.03296967680141021,-1.603662333528294,410000.0,-1.6036623335305937,-0.9239376992199547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7960977424403608,0.715234257821792
