year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1970,2,2,3,2,7,16117.0,1497.0,255000.0,17614.0,0.09288329093503754,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1950,0,1,2,1,7,6970.0,840.0,63500.0,7810.0,0.12051649928263988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1956,0,0,0,0,10,534481.0,0.0,453990.0,534481.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
2006,2,1,3,2,7,9148.0,3084.0,455000.0,12232.0,0.33712286838653255,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,238452.14,233151.6
2003,0,1,3,2,7,8276.0,1678.0,222000.0,9954.0,0.2027549540840986,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,238452.14,233151.6
1922,0,1,3,2,7,6098.0,1651.0,379000.0,7749.0,0.27074450639553954,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,238452.14,233151.6
1976,2,2,3,3,7,0.0,2660.0,190000.0,2660.0,0.3272722368594926,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1970,0,1,2,1,7,6534.0,864.0,48500.0,7398.0,0.1322314049586777,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1961,1,2,3,2,7,9583.0,1681.0,175000.0,11264.0,0.17541479703641866,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,238452.14,233151.6
1956,0,0,0,0,10,23522.0,0.0,107500.0,23522.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,238452.14,233151.6
1969,0,1,3,2,7,10454.0,1108.0,103000.0,11562.0,0.10598813851157451,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1992,2,1,3,2,7,8712.0,1600.0,236500.0,10312.0,0.18365472910927455,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,238452.14,233151.6
1969,0,1,4,2,7,8712.0,1700.0,225000.0,10412.0,0.19513314967860423,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,238452.14,233151.6
1981,0,2,2,2,6,0.0,1054.0,100000.0,1054.0,0.3272722368594926,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,238452.14,233151.6
1930,0,2,0,0,9,8276.0,4344.0,325000.0,12620.0,0.5248912518124698,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1978,0,1,4,2,7,14375.0,2457.0,258000.0,16832.0,0.1709217391304348,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
1920,0,2,3,1,7,6970.0,1428.0,39900.0,8398.0,0.2048780487804878,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238452.14,233151.6
